"Date","Franchise","Region","Revenue","Bookings","New_Customers","Returning_Customers","Complaints","Complaint_Category","Instructor_Count","Lesson_Capacity","Attendance_Rate","Marketing_Spend","Customer_Satisfaction","Cancellation_Rate"
2024-01-01,"Leeds","North",21977,340,77,279,28,"Cancellation",7,621,75.6,3250,4.4,3.9
2024-01-01,"Manchester","North",32294,497,34,450,5,"Cancellation",9,565,81.1,3750,3.6,7.3
2024-01-01,"Liverpool","North",25642,394,29,408,15,"Booking Issue",10,616,79.9,2000,4.4,15
2024-01-01,"Birmingham","Midlands",27635,425,52,153,11,"Booking Issue",5,453,91.1,6000,3.5,8.8
2024-01-01,"Nottingham","Midlands",27426,422,21,222,13,"Cancellation",4,472,85.7,2750,4.2,7.8
2024-01-01,"Leicester","Midlands",27581,424,72,304,15,"Pool Facilities",12,600,92.4,5250,4,14
2024-01-01,"Bristol","South",30412,468,77,292,10,"Cancellation",7,634,97.4,3500,3.6,11.4
2024-01-01,"Reading","South",35907,552,69,327,10,"Instructor Quality",4,661,75.1,2250,3.8,10.3
2024-01-01,"Southampton","South",26193,403,35,443,12,"Cancellation",6,547,82.5,1750,4.1,2
2024-01-01,"Newcastle","North",27320,420,26,319,4,"Pool Facilities",8,686,88.8,1000,4.6,1
2024-02-01,"Leeds","North",20464,319,42,380,22,"Booking Issue",12,455,84.3,2000,4.9,8.1
2024-02-01,"Manchester","North",30370,467,60,287,5,"Cancellation",11,664,86.3,5250,3.5,7.1
2024-02-01,"Liverpool","North",26971,415,53,450,6,"Instructor Quality",8,697,85.1,5500,4.2,7.3
2024-02-01,"Birmingham","Midlands",25078,386,46,341,9,"Cancellation",4,537,80.5,2250,4,2.9
2024-02-01,"Nottingham","Midlands",25238,388,79,405,4,"Customer Service",12,657,85.1,6000,4.6,10.6
2024-02-01,"Leicester","Midlands",24302,374,43,433,13,"Cancellation",7,451,75.7,3250,4.1,8
2024-02-01,"Bristol","South",29417,453,28,426,12,"Pool Facilities",5,640,82.2,2750,3.8,14.4
2024-02-01,"Reading","South",28584,440,44,315,13,"Booking Issue",10,627,83.6,5750,4.6,13.4
2024-02-01,"Southampton","South",24838,382,74,441,11,"Instructor Quality",4,664,88.3,2500,4.8,11.8
2024-02-01,"Newcastle","North",22503,346,30,361,8,"Customer Service",6,699,90.9,2500,4.9,1.8
2024-03-01,"Leeds","North",21749,342,68,369,16,"Booking Issue",6,555,88.7,5500,5,12.9
2024-03-01,"Manchester","North",35611,548,76,410,4,"Instructor Quality",5,606,95.8,2500,4.5,14.5
2024-03-01,"Liverpool","North",29197,449,47,209,5,"Instructor Quality",4,485,92.9,4250,3.8,14.9
2024-03-01,"Birmingham","Midlands",27020,416,44,171,10,"Instructor Quality",8,597,89.9,2500,3.9,4
2024-03-01,"Nottingham","Midlands",24254,373,38,422,14,"Booking Issue",7,557,91.4,5000,4.2,12.5
2024-03-01,"Leicester","Midlands",28150,433,46,270,7,"Pool Facilities",5,491,97.4,4500,4.9,9.9
2024-03-01,"Bristol","South",24724,380,67,327,9,"Cancellation",4,523,91.5,4500,4.8,4.1
2024-03-01,"Reading","South",29786,458,33,336,6,"Pool Facilities",4,615,92.7,6000,4.1,11.3
2024-03-01,"Southampton","South",27972,430,35,433,4,"Instructor Quality",4,510,82.7,1750,4.1,9.2
2024-03-01,"Newcastle","North",24738,381,73,396,13,"Pool Facilities",4,527,79.7,4250,4.5,14
2024-04-01,"Leeds","North",22662,358,30,347,13,"Booking Issue",4,658,87.2,2000,4.4,1.3
2024-04-01,"Manchester","North",34828,536,34,411,1,"Instructor Quality",11,607,86.5,4000,4.3,11.4
2024-04-01,"Liverpool","North",22934,353,25,390,10,"Booking Issue",9,575,94.6,2500,4.3,10.9
2024-04-01,"Birmingham","Midlands",22419,345,27,411,8,"Instructor Quality",11,620,82.9,2500,3.5,2.2
2024-04-01,"Nottingham","Midlands",27104,417,67,402,9,"Pool Facilities",8,510,76.2,1500,4.5,11.7
2024-04-01,"Leicester","Midlands",29093,448,22,372,9,"Booking Issue",10,609,92.5,3750,3.6,4.3
2024-04-01,"Bristol","South",28787,443,24,385,11,"Customer Service",5,607,88.7,4500,4.1,14.7
2024-04-01,"Reading","South",26791,412,63,186,7,"Booking Issue",8,506,88.2,5250,4.4,8.1
2024-04-01,"Southampton","South",26293,405,54,170,11,"Pool Facilities",12,637,78.6,1750,4.1,11.8
2024-04-01,"Newcastle","North",25510,392,66,295,11,"Instructor Quality",4,597,84.5,1000,3.9,7.6
2024-05-01,"Leeds","North",19938,318,21,210,19,"Instructor Quality",7,681,90.7,1750,4.7,12.7
2024-05-01,"Manchester","North",33754,519,55,298,5,"Instructor Quality",5,658,91.2,4000,4.7,4.9
2024-05-01,"Liverpool","North",30586,471,31,400,6,"Customer Service",7,612,89.4,1250,4.8,5.2
2024-05-01,"Birmingham","Midlands",26952,415,76,206,14,"Instructor Quality",12,579,93.4,6000,4.7,13
2024-05-01,"Nottingham","Midlands",22982,354,21,157,12,"Pool Facilities",6,585,91.1,5250,4.3,7
2024-05-01,"Leicester","Midlands",24249,373,53,419,8,"Instructor Quality",6,545,95.4,5500,3.8,6.1
2024-05-01,"Bristol","South",34242,527,59,335,11,"Instructor Quality",7,662,76,2750,4.6,2.3
2024-05-01,"Reading","South",30313,466,27,205,4,"Cancellation",6,524,78.9,3250,4.7,13.4
2024-05-01,"Southampton","South",29025,447,70,245,13,"Pool Facilities",6,663,86.7,4000,3.6,7.1
2024-05-01,"Newcastle","North",26321,405,21,368,6,"Customer Service",7,515,78.3,1250,4.6,12.8
2024-06-01,"Leeds","North",19051,307,78,420,20,"Customer Service",12,601,86.7,4500,3.6,4.6
2024-06-01,"Manchester","North",30673,472,44,230,5,"Booking Issue",7,506,76.3,3500,4.5,7.9
2024-06-01,"Liverpool","North",26178,403,38,351,12,"Instructor Quality",5,498,83.9,4250,3.6,13.7
2024-06-01,"Birmingham","Midlands",26692,411,52,216,7,"Cancellation",4,495,82.5,5750,4.7,1.8
2024-06-01,"Nottingham","Midlands",25842,398,76,314,14,"Cancellation",12,515,90.3,5500,4.9,14.1
2024-06-01,"Leicester","Midlands",30173,464,62,290,9,"Instructor Quality",11,450,80.1,3750,4.6,13.5
2024-06-01,"Bristol","South",27938,430,47,210,11,"Pool Facilities",7,549,85.3,5000,4.9,11.3
2024-06-01,"Reading","South",25907,399,22,201,14,"Booking Issue",5,524,77.1,6000,4.9,7.9
2024-06-01,"Southampton","South",29310,451,70,276,12,"Pool Facilities",7,455,75.8,1000,4.2,9.8
2024-06-01,"Newcastle","North",26322,405,60,446,14,"Cancellation",5,566,79.8,4000,4.2,12.6
2024-07-01,"Leeds","North",22531,363,65,334,18,"Cancellation",4,577,87.8,1500,3.7,10.9
2024-07-01,"Manchester","North",33969,523,60,431,8,"Customer Service",4,650,90.9,4000,4.2,14.7
2024-07-01,"Liverpool","North",27699,426,63,410,5,"Customer Service",7,494,78.3,1750,4.2,7.6
2024-07-01,"Birmingham","Midlands",24853,382,47,362,13,"Cancellation",4,549,81.1,4250,4.5,5.6
2024-07-01,"Nottingham","Midlands",24767,381,60,417,13,"Pool Facilities",11,688,90.3,2000,4.9,11.2
2024-07-01,"Leicester","Midlands",23292,358,59,419,14,"Pool Facilities",6,673,81.2,4500,3.6,11.7
2024-07-01,"Bristol","South",30125,463,37,182,11,"Pool Facilities",5,652,89.7,2500,4,4.8
2024-07-01,"Reading","South",30316,466,61,222,7,"Cancellation",10,469,95.2,2000,4.7,11.9
2024-07-01,"Southampton","South",26626,410,58,287,12,"Cancellation",9,529,78.3,2500,4.5,11.5
2024-07-01,"Newcastle","North",28115,433,32,372,10,"Instructor Quality",8,615,92.6,4750,4.9,11.8
2024-08-01,"Leeds","North",20249,330,44,223,29,"Pool Facilities",9,616,94.3,4500,3.7,10.3
2024-08-01,"Manchester","North",31299,482,24,389,6,"Cancellation",9,680,93.4,6000,4.8,8.9
2024-08-01,"Liverpool","North",26049,401,54,161,8,"Booking Issue",7,665,95.3,3750,4.8,12.4
2024-08-01,"Birmingham","Midlands",25291,389,75,223,12,"Pool Facilities",5,546,76.6,4500,3.6,8
2024-08-01,"Nottingham","Midlands",25631,394,42,410,4,"Instructor Quality",4,689,86.5,1750,4.9,5.7
2024-08-01,"Leicester","Midlands",25014,385,78,380,6,"Pool Facilities",8,510,89,3750,5,12.1
2024-08-01,"Bristol","South",28557,439,25,394,14,"Customer Service",11,493,93.4,3750,4.6,4.9
2024-08-01,"Reading","South",31755,489,38,277,8,"Pool Facilities",6,616,78.3,4000,4.9,8.1
2024-08-01,"Southampton","South",25502,392,49,425,9,"Instructor Quality",12,666,79,5250,4.7,10.7
2024-08-01,"Newcastle","North",21989,338,51,224,14,"Booking Issue",12,638,86.1,4000,4.9,9.4
2024-09-01,"Leeds","North",24554,399,44,353,28,"Instructor Quality",8,655,82.2,2500,3.8,9.5
2024-09-01,"Manchester","North",34632,533,33,448,3,"Customer Service",7,581,75.4,4250,4.7,2.1
2024-09-01,"Liverpool","North",26236,404,27,282,6,"Instructor Quality",4,517,95.1,2750,4,4.5
2024-09-01,"Birmingham","Midlands",27341,421,59,250,6,"Booking Issue",12,687,88.1,2000,4.5,5.7
2024-09-01,"Nottingham","Midlands",28229,434,24,206,8,"Instructor Quality",9,658,81.3,2750,3.9,7.7
2024-09-01,"Leicester","Midlands",25208,388,49,372,9,"Cancellation",6,642,82.8,2250,3.5,5.5
